lat,lon,street,colony,city,district
17.3873294,78.4057336,Golconda,Golconda,Hyderabad,Telangana
17.4002904,78.4118051,Tolichowki,Tolichowki,Hyderabad,Telangana
17.4408924,78.3916304,Madhapur,Madhapur,Hyderabad,Telangana
17.5750754,78.4235767,Gandimaisamma,Gandimaisamma,Hyderabad,Telangana
17.3645718,78.4868219,Maidan,Maidan,Hyderabad,Telangana
17.4436222,78.3519638,Gachibowli,Gachibowli,Hyderabad,Telangana
17.3410735,78.6276055,Kuntloor,Kuntloor,Hyderabad,Telangana
17.4003845,78.4489409,Masab Tank,Masab Tank,Hyderabad,Telangana
17.4930841,78.4054408,Kukatpally,Kukatpally,Hyderabad,Telangana
17.3501617,78.5510938,LB Nagar,LB Nagar,Hyderabad,Telangana
17.3281147,78.6045399,Hayathnagar,Hayathnagar,Hyderabad,Telangana
17.4154761,78.5426918,Habsiguda,Habsiguda,Hyderabad,Telangana
17.4297326,78.5174265,Sitaphalmandi,Sitaphalmandi,Hyderabad,Telangana
17.4019354,78.5095814,Vidyanagar,Vidyanagar,Hyderabad,Telangana
17.4653902,78.4289925,Bharath Nagar,Bharath Nagar,Hyderabad,Telangana
17.4984629,78.3819018,Hydernagar,Hydernagar,Hyderabad,Telangana
17.515397,78.3817156,Nizampet,Nizampet,Hyderabad,Telangana
17.4938648,78.3862078,Vasanth Nagar,Vasanth Nagar,Hyderabad,Telangana
17.4922068,78.3973638,KPHB Colony,KPHB Colony,Hyderabad,Telangana
17.3775306,78.5601231,Nagole,Nagole,Hyderabad,Telangana
17.5649983,78.5545036,Thumukunta,Thumukunta,Hyderabad,Telangana
17.4687072,78.3645752,Raghavendra Colony,Raghavendra Colony,Hyderabad,Telangana
17.5200154,78.3968876,Pragathi Nagar,Pragathi Nagar,Hyderabad,Telangana
17.4284936,78.5528098,Nacharam,Nacharam,Hyderabad,Telangana
17.4227022,78.4917695,Kavadiguda,Kavadiguda,Hyderabad,Telangana
17.446195,78.463016,Begumpet,Begumpet,Hyderabad,Telangana
17.4255053,78.4585197,Somajiguda,Somajiguda,Hyderabad,Telangana
17.4117706,78.4622003,Khairatabad,Khairatabad,Hyderabad,Telangana
17.4177464,78.4399014,Banjara Hills,Banjara Hills,Hyderabad,Telangana
17.5410548,78.3635484,Bachupally,Bachupally,Hyderabad,Telangana
17.4619212,78.3548628,Sriram Nagar,Sriram Nagar,Hyderabad,Telangana
17.3575281,78.4770839,Moghalpura,Moghalpura,Hyderabad,Telangana
17.3605451,78.4801015,Alijah Kotla,Alijah Kotla,Hyderabad,Telangana
17.3625859,78.478767,Panjeshah,Panjeshah,Hyderabad,Telangana
17.4291288,78.4571781,Nishat Bagh Colony,Nishat Bagh Colony,Hyderabad,Telangana
17.4299852,78.459582,B.S.Makhta,B.S.Makhta,Hyderabad,Telangana
17.4587912,78.3730556,Kondapur,Kondapur,Hyderabad,Telangana
17.3894783,78.477182,Abids,Abids,Hyderabad,Telangana
17.4732138,78.5115017,Karkhana,Karkhana,Hyderabad,Telangana
17.4191997,78.4949035,Bholakpur,Bholakpur,Hyderabad,Telangana
17.4191423,78.4985732,Musheerabad,Musheerabad,Hyderabad,Telangana
17.4148494,78.4954767,Bank of Baroda Colony,Bank of Baroda Colony,Hyderabad,Telangana
17.422226,78.4948209,PS Colony,PS Colony,Hyderabad,Telangana
17.4153832,78.4957358,Vasanth Nagar Colony,Vasanth Nagar Colony,Hyderabad,Telangana
17.3918524,78.4660052,Nampally,Nampally,Hyderabad,Telangana
17.3691082,78.4496747,Karvan,Karvan,Hyderabad,Telangana
17.3904228,78.4978117,Kacheguda,Kacheguda,Hyderabad,Telangana
17.3717497,78.476472,Naya Pul,Naya Pul,Hyderabad,Telangana
17.3674891,78.4579042,Purana Pul,Purana Pul,Hyderabad,Telangana
17.4375012,78.4482505,Ameerpet,Ameerpet,Hyderabad,Telangana
17.3820325,78.4925338,Chaderghat,Chaderghat,Hyderabad,Telangana
17.3736706,78.4996484,Malakpet,Malakpet,Hyderabad,Telangana
17.4254245,78.4517519,Panjagutta,Panjagutta,Hyderabad,Telangana
17.3732055,78.4663383,Churi Bazaar,Churi Bazaar,Hyderabad,Telangana
17.377629,78.4216315,Langar Hauz,Langar Hauz,Hyderabad,Telangana
17.3942627,78.4342514,Mehdipatnam,Mehdipatnam,Hyderabad,Telangana
17.3847309,78.4836642,Koti,Koti,Hyderabad,Telangana
17.359533,78.5147979,Saidabad,Saidabad,Hyderabad,Telangana
17.4069869,78.4965166,RTC X Road,RTC X Road,Hyderabad,Telangana
17.4076626,78.4928021,Jawahar Nagar,Jawahar Nagar,Hyderabad,Telangana
17.4255371,78.5306786,Tarnaka Flyover;TGSRTC Hospital,Tarnaka Flyover;TGSRTC Hospital,Hyderabad,Telangana
17.3830362,78.5619555,Green Fields Colony,Green Fields Colony,Hyderabad,Telangana
17.4603704,78.3687236,jubilee gardens,jubilee gardens,Hyderabad,Telangana
17.3392402,78.521552,New Maruthi Nagar,New Maruthi Nagar,Hyderabad,Telangana
17.3883845,78.4292503,Padmanabha Nagar Colony,Padmanabha Nagar Colony,Hyderabad,Telangana
17.4025847,78.4729954,Band Lines Colony,Band Lines Colony,Hyderabad,Telangana
17.5176042,78.50696,Chandra Nagar Colony,Chandra Nagar Colony,Hyderabad,Telangana
17.4509127,78.3634038,Studiorigin - Interior Designer in Hyderabad,Studiorigin - Interior Designer in Hyderabad,Hyderabad,Telangana
17.5106025,78.4068992,Gandhi Statue;Yellamma Banda,Gandhi Statue;Yellamma Banda,Hyderabad,Telangana
17.5047252,78.4625943,Jayaram Nagar,Jayaram Nagar,Hyderabad,Telangana
17.5312249,78.4476224,Apurupa Township,Apurupa Township,Hyderabad,Telangana
17.5439406,78.4389615,Dayanand Nagar,Dayanand Nagar,Hyderabad,Telangana
17.5271759,78.4200077,Gajularamaram,Gajularamaram,Hyderabad,Telangana
17.5343291,78.4324971,Rajiv Gandhi Nagar,Rajiv Gandhi Nagar,Hyderabad,Telangana
17.5328246,78.4444039,SR Naik Nagar,SR Naik Nagar,Hyderabad,Telangana
17.5384446,78.4333457,Sivalaya Nagar Colony,Sivalaya Nagar Colony,Hyderabad,Telangana
17.5471234,78.4389934,Sundar Rao Nagar,Sundar Rao Nagar,Hyderabad,Telangana
17.5442449,78.4251393,Tirumala Enclave,Tirumala Enclave,Hyderabad,Telangana
17.5409357,78.4319836,Venkatarama Colony,Venkatarama Colony,Hyderabad,Telangana
17.5220344,78.4638017,Ram Reddy Nagar,Ram Reddy Nagar,Hyderabad,Telangana
17.527818,78.5437408,Badshahpet,Badshahpet,Hyderabad,Telangana
17.5249842,78.5202085,Bajrang Colony,Bajrang Colony,Hyderabad,Telangana
17.5279807,78.5162378,Bhavana Colony,Bhavana Colony,Hyderabad,Telangana
17.529823,78.5155062,Bolarum,Bolarum,Hyderabad,Telangana
17.5343186,78.5125183,Brindavan Colony,Brindavan Colony,Hyderabad,Telangana
17.5267051,78.5318517,Defence Staff Quarters,Defence Staff Quarters,Hyderabad,Telangana
17.5248934,78.5355319,Kowkur,Kowkur,Hyderabad,Telangana
17.5251662,78.5149728,Prem Nagar Colony,Prem Nagar Colony,Hyderabad,Telangana
17.5275251,78.5203727,Risala Bazaar,Risala Bazaar,Hyderabad,Telangana
17.5381033,78.5141023,Shanti Niketan Colony,Shanti Niketan Colony,Hyderabad,Telangana
17.5454598,78.5414465,Singayapalli,Singayapalli,Hyderabad,Telangana
17.5441532,78.5156289,Turkapalli,Turkapalli,Hyderabad,Telangana
17.5113092,78.3632182,CG Employees Colony,CG Employees Colony,Hyderabad,Telangana
17.499603,78.3397686,Deepthisree Nagar,Deepthisree Nagar,Hyderabad,Telangana
17.5071523,78.3564684,Jayaprakash Narayan Nagar,Jayaprakash Narayan Nagar,Hyderabad,Telangana
17.5116535,78.3676991,Mayuri Nagar,Mayuri Nagar,Hyderabad,Telangana
17.5038611,78.3528734,Prasanth Nagar,Prasanth Nagar,Hyderabad,Telangana
